epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0463,1.76275,3.88687,1.90284,0.46016,0.19936,0.12043,0.0512,1.57948,2.57226,1.7308,0.000157557,0.000157557,0.000157557
2,81.1715,1.56649,3.07789,1.6851,0.40235,0.33303,0.18424,0.08568,1.61919,2.75351,1.72663,0.000305788,0.000305788,0.000305788
3,119.605,1.57231,2.84095,1.65456,0.54595,0.29665,0.24813,0.1314,1.53591,2.35133,1.67682,0.000443548,0.000443548,0.000443548
4,158.271,1.53869,2.65701,1.62091,0.49563,0.29068,0.25368,0.12344,1.51282,2.17135,1.66206,0.000428876,0.000428876,0.000428876
5,196.895,1.51401,2.50096,1.58257,0.51336,0.31648,0.25199,0.13926,1.45046,2.068,1.58098,0.000413168,0.000413168,0.000413168
6,235.535,1.49488,2.40229,1.5683,0.53556,0.42603,0.36145,0.19194,1.51305,1.94882,1.59835,0.00039746,0.00039746,0.00039746
7,274.08,1.48615,2.33829,1.54576,0.33511,0.44173,0.33816,0.16722,1.49678,2.00996,1.57574,0.000381752,0.000381752,0.000381752
8,312.695,1.44367,2.21677,1.52538,0.57772,0.36924,0.37471,0.19546,1.46526,1.88726,1.54036,0.000366044,0.000366044,0.000366044
9,351.84,1.46046,2.18675,1.53171,0.39356,0.46555,0.38594,0.20271,1.45441,1.91469,1.52462,0.000350336,0.000350336,0.000350336
10,390.318,1.42563,2.10237,1.49772,0.42949,0.43246,0.38859,0.21689,1.42353,1.82475,1.48825,0.000334628,0.000334628,0.000334628
11,428.836,1.42475,2.05957,1.50469,0.41,0.51289,0.38653,0.20693,1.37591,1.79308,1.4856,0.00031892,0.00031892,0.00031892
12,467.161,1.40429,2.01414,1.48796,0.49795,0.42854,0.42231,0.24075,1.39941,1.71719,1.49008,0.000303212,0.000303212,0.000303212
13,506.065,1.39316,1.9409,1.47628,0.34105,0.47201,0.38274,0.22192,1.36523,1.71662,1.42841,0.000287504,0.000287504,0.000287504
14,544.106,1.40414,1.92282,1.48378,0.45337,0.47971,0.39896,0.24424,1.32941,1.66364,1.42826,0.000271796,0.000271796,0.000271796
15,582.141,1.37323,1.91971,1.46106,0.44358,0.474,0.41883,0.26433,1.2921,1.67376,1.39688,0.000256088,0.000256088,0.000256088
16,620.312,1.36121,1.8307,1.45011,0.35652,0.51726,0.40448,0.24051,1.33529,1.62926,1.42796,0.00024038,0.00024038,0.00024038
17,658.634,1.35447,1.80129,1.44178,0.4213,0.49996,0.40825,0.24138,1.3825,1.63227,1.4425,0.000224672,0.000224672,0.000224672
18,696.992,1.33239,1.75729,1.43272,0.38735,0.53852,0.40869,0.24261,1.30863,1.58049,1.39945,0.000208964,0.000208964,0.000208964
19,735.309,1.32409,1.74631,1.42284,0.39536,0.54461,0.41008,0.24095,1.45484,1.60892,1.50626,0.000193256,0.000193256,0.000193256
20,773.81,1.32198,1.74233,1.4336,0.42947,0.50176,0.41782,0.26072,1.31375,1.55992,1.40339,0.000177548,0.000177548,0.000177548
21,811.986,1.31071,1.56469,1.5065,0.42371,0.47413,0.41203,0.24694,1.32128,1.56594,1.40133,0.00016184,0.00016184,0.00016184
22,848.419,1.26796,1.49032,1.47397,0.42256,0.50585,0.41842,0.26647,1.28792,1.57505,1.39926,0.000146132,0.000146132,0.000146132
23,883.796,1.2395,1.43891,1.45021,0.41206,0.50106,0.42854,0.25942,1.32865,1.60177,1.4047,0.000130424,0.000130424,0.000130424
24,919.693,1.23391,1.40514,1.44201,0.44236,0.49641,0.42236,0.26723,1.27645,1.54966,1.38095,0.000114716,0.000114716,0.000114716
25,956.085,1.22813,1.39479,1.44557,0.4173,0.54649,0.42491,0.26844,1.26597,1.54453,1.37416,9.9008e-05,9.9008e-05,9.9008e-05
26,992.245,1.20275,1.35842,1.4191,0.44204,0.49873,0.42929,0.2744,1.27021,1.51985,1.35786,8.33e-05,8.33e-05,8.33e-05
27,1028.59,1.18432,1.33763,1.40166,0.41786,0.55854,0.42842,0.25795,1.30224,1.53134,1.38507,6.7592e-05,6.7592e-05,6.7592e-05
28,1064.4,1.15859,1.30102,1.38527,0.4744,0.49665,0.42435,0.26858,1.27081,1.51942,1.36665,5.1884e-05,5.1884e-05,5.1884e-05
29,1100.12,1.15211,1.2846,1.38166,0.40673,0.55309,0.42794,0.2646,1.28178,1.53282,1.37506,3.6176e-05,3.6176e-05,3.6176e-05
30,1136.31,1.14806,1.26633,1.37832,0.39322,0.55616,0.42727,0.27159,1.2655,1.52141,1.36318,2.0468e-05,2.0468e-05,2.0468e-05
