epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9729,0.95199,2.00205,1.43429,0.86884,0.89311,0.96597,0.74803,0.81155,1.26158,1.44946,0.00033216,0.00033216,0.00033216
2,156.063,0.88042,1.11814,1.35396,0.86887,0.81287,0.96531,0.77967,0.72031,0.87719,1.36617,0.000652316,0.000652316,0.000652316
3,229.969,0.86432,0.89894,1.33168,0.81158,0.83207,0.90507,0.71221,0.79533,0.85771,1.40253,0.000959273,0.000959273,0.000959273
4,303.862,0.85247,0.80605,1.31859,0.76124,0.7933,0.93598,0.59364,1.28286,1.11988,1.90043,0.0009406,0.0009406,0.0009406
5,378.233,0.83632,0.73334,1.30373,0.88005,0.87445,0.96438,0.8314,0.61882,0.66925,1.23346,0.0009208,0.0009208,0.0009208
6,451.186,0.81045,0.68927,1.28924,0.95243,0.94485,0.98959,0.85173,0.65546,0.46635,1.25893,0.000901,0.000901,0.000901
7,525.824,0.78753,0.63103,1.27475,0.94633,0.96931,0.98699,0.85956,0.57091,0.43224,1.19723,0.0008812,0.0008812,0.0008812
8,601.217,0.76966,0.61536,1.26264,0.96761,0.99145,0.99444,0.85889,0.60746,0.36131,1.19615,0.0008614,0.0008614,0.0008614
9,675.25,0.76024,0.59821,1.25023,0.97266,0.9664,0.99465,0.85688,0.63499,0.38432,1.23942,0.0008416,0.0008416,0.0008416
10,749.016,0.75022,0.57727,1.24945,0.915,0.95519,0.98752,0.85011,0.62378,0.45094,1.24795,0.0008218,0.0008218,0.0008218
11,822.303,0.72932,0.5672,1.22843,0.98767,0.9906,0.99498,0.86767,0.58203,0.32857,1.201,0.000802,0.000802,0.000802
12,896.011,0.73175,0.54665,1.23398,0.99129,0.98431,0.99472,0.86138,0.63417,0.32711,1.20607,0.0007822,0.0007822,0.0007822
13,969.546,0.71874,0.52555,1.22323,0.9837,0.99683,0.99496,0.87733,0.54929,0.31521,1.15598,0.0007624,0.0007624,0.0007624
14,1042.74,0.70872,0.51704,1.21883,0.97643,0.98566,0.99465,0.8919,0.51804,0.30081,1.13751,0.0007426,0.0007426,0.0007426
15,1116.89,0.7039,0.50806,1.21678,0.97589,0.98808,0.99357,0.86906,0.58106,0.32636,1.16828,0.0007228,0.0007228,0.0007228
16,1190.62,0.69316,0.50325,1.20597,0.95673,0.98382,0.99397,0.88626,0.54349,0.34963,1.16189,0.000703,0.000703,0.000703
17,1264.86,0.6881,0.48257,1.20123,0.98952,0.99713,0.995,0.89129,0.52474,0.28107,1.13498,0.0006832,0.0006832,0.0006832
18,1338.12,0.6893,0.48127,1.20225,0.99237,0.99662,0.99496,0.89386,0.51754,0.28329,1.13089,0.0006634,0.0006634,0.0006634
19,1411.94,0.6717,0.468,1.19409,0.99609,0.99327,0.99498,0.89343,0.51657,0.2707,1.13167,0.0006436,0.0006436,0.0006436
20,1485.99,0.67083,0.46071,1.19091,0.98996,0.9988,0.99495,0.88932,0.54502,0.27188,1.14653,0.0006238,0.0006238,0.0006238
21,1561.17,0.66649,0.45199,1.19228,0.98744,0.98556,0.99445,0.89443,0.53247,0.28646,1.12989,0.000604,0.000604,0.000604
22,1636.57,0.65719,0.45598,1.18489,0.99548,0.99723,0.995,0.88959,0.53798,0.26137,1.16213,0.0005842,0.0005842,0.0005842
23,1712.04,0.65472,0.43939,1.1782,0.98826,0.99338,0.99384,0.88646,0.53481,0.27704,1.15092,0.0005644,0.0005644,0.0005644
24,1788.24,0.64727,0.44292,1.17508,0.99519,0.99228,0.99496,0.89415,0.52919,0.25868,1.13465,0.0005446,0.0005446,0.0005446
25,1863.44,0.64353,0.43481,1.17345,0.89415,0.86379,0.97741,0.8681,0.54532,0.60739,1.14777,0.0005248,0.0005248,0.0005248
26,1938.31,0.64282,0.43187,1.17665,0.99493,0.99087,0.99495,0.90125,0.51287,0.24571,1.11603,0.000505,0.000505,0.000505
27,2015.14,0.64196,0.42071,1.16862,0.98913,0.9965,0.9949,0.89716,0.52114,0.25254,1.1343,0.0004852,0.0004852,0.0004852
28,2090.82,0.63128,0.42194,1.16598,0.9937,0.99895,0.995,0.89905,0.51132,0.24726,1.12689,0.0004654,0.0004654,0.0004654
29,2165.36,0.6329,0.41833,1.16491,0.99535,0.997,0.995,0.89734,0.53172,0.24119,1.1383,0.0004456,0.0004456,0.0004456
30,2239.64,0.62355,0.40578,1.16659,0.99825,0.99941,0.995,0.90402,0.49633,0.23938,1.10637,0.0004258,0.0004258,0.0004258
31,2314.39,0.62268,0.40716,1.15957,0.98575,0.99055,0.99489,0.89996,0.51419,0.2569,1.12682,0.000406,0.000406,0.000406
32,2389.07,0.6022,0.39544,1.1466,0.99652,0.99824,0.995,0.90659,0.49321,0.23195,1.1258,0.0003862,0.0003862,0.0003862
33,2463.51,0.61151,0.39564,1.15204,0.99428,0.99775,0.99465,0.90919,0.48884,0.23022,1.10289,0.0003664,0.0003664,0.0003664
34,2538.11,0.61191,0.38996,1.1518,0.99287,1,0.995,0.90061,0.50905,0.23596,1.11335,0.0003466,0.0003466,0.0003466
35,2612.65,0.60635,0.38443,1.15195,0.99443,0.99588,0.99484,0.90111,0.51069,0.23779,1.11146,0.0003268,0.0003268,0.0003268
36,2687.51,0.59575,0.37783,1.14574,0.9938,0.99485,0.995,0.90223,0.51168,0.23677,1.14385,0.000307,0.000307,0.000307
37,2762.67,0.59722,0.37956,1.14305,0.99845,1,0.995,0.90675,0.49827,0.23139,1.1049,0.0002872,0.0002872,0.0002872
38,2837.52,0.58786,0.37246,1.13934,0.99694,0.99626,0.995,0.90866,0.49135,0.23134,1.10651,0.0002674,0.0002674,0.0002674
39,2912.69,0.58335,0.36954,1.13348,0.99664,0.99831,0.99498,0.90445,0.5031,0.22585,1.13059,0.0002476,0.0002476,0.0002476
40,2987.67,0.58232,0.36493,1.12941,0.99823,0.99886,0.995,0.91116,0.48962,0.22671,1.09911,0.0002278,0.0002278,0.0002278
41,3059.81,0.46628,0.25374,1.14276,0.99821,0.99982,0.995,0.89793,0.51755,0.22907,1.15027,0.000208,0.000208,0.000208
42,3130.29,0.44395,0.22548,1.1163,0.99558,0.99367,0.9949,0.90403,0.49163,0.22683,1.11987,0.0001882,0.0001882,0.0001882
43,3199.76,0.43847,0.22849,1.11624,0.99591,0.99659,0.9949,0.90143,0.51105,0.2283,1.13272,0.0001684,0.0001684,0.0001684
44,3270.65,0.42381,0.21648,1.10059,0.99618,0.99821,0.99467,0.90966,0.4867,0.21919,1.10449,0.0001486,0.0001486,0.0001486
45,3340.43,0.41582,0.20893,1.09376,0.9966,0.99821,0.99434,0.91115,0.49331,0.21654,1.11611,0.0001288,0.0001288,0.0001288
46,3410.66,0.40839,0.20079,1.08395,0.99637,0.99821,0.99495,0.91018,0.49209,0.21541,1.12328,0.000109,0.000109,0.000109
47,3480.48,0.4081,0.20087,1.07763,0.99637,0.9983,0.99498,0.90806,0.49487,0.21892,1.13244,8.92e-05,8.92e-05,8.92e-05
48,3551.12,0.40133,0.20076,1.07668,0.99538,0.99806,0.99498,0.91127,0.48846,0.21148,1.11782,6.94e-05,6.94e-05,6.94e-05
49,3621.15,0.38929,0.1957,1.07508,0.99638,0.9984,0.99497,0.90815,0.48788,0.2117,1.10816,4.96e-05,4.96e-05,4.96e-05
50,3691.04,0.38895,0.19167,1.06844,0.99609,0.99848,0.99495,0.91056,0.49282,0.21426,1.1273,2.98e-05,2.98e-05,2.98e-05
